recorded_time,temperature,sensor_type
2021-12-25T00:00,-3.172279260780286,UNKNOWN
2021-12-25T00:01,-3.072279260780288,UNKNOWN
2021-12-25T00:02,-3.072279260780288,UNKNOWN
2021-12-25T00:03,-3.072279260780288,UNKNOWN
2021-12-25T00:04,-3.072279260780288,UNKNOWN
2021-12-25T00:05,-3.072279260780288,UNKNOWN
2021-12-25T00:06,-3.072279260780288,UNKNOWN
2021-12-25T00:07,-3.072279260780288,UNKNOWN
2021-12-25T00:08,-3.072279260780288,UNKNOWN
2021-12-25T00:09,-3.072279260780288,UNKNOWN
2021-12-25T00:10,-3.072279260780288,UNKNOWN
2021-12-25T00:11,-3.072279260780288,UNKNOWN
2021-12-25T00:12,-3.072279260780288,UNKNOWN
2021-12-25T00:13,-3.072279260780288,UNKNOWN
2021-12-25T00:15,-3.072279260780288,UNKNOWN
2021-12-25T00:16,-3.072279260780288,UNKNOWN
2021-12-25T00:17,-3.072279260780288,UNKNOWN
2021-12-25T00:18,-2.9722792607802866,UNKNOWN
2021-12-25T00:19,-2.9722792607802866,UNKNOWN
2021-12-25T00:20,-2.8722792607802887,UNKNOWN
2021-12-25T00:21,-2.7722792607802873,UNKNOWN
2021-12-25T00:22,-2.672279260780286,UNKNOWN
2021-12-25T00:23,-2.572279260780288,UNKNOWN
2021-12-25T00:24,-2.572279260780288,UNKNOWN
2021-12-25T00:25,-2.4722792607802866,UNKNOWN
2021-12-25T00:26,-2.3722792607802887,UNKNOWN
2021-12-25T00:27,-2.2722792607802873,UNKNOWN
2021-12-25T00:28,-2.2722792607802873,UNKNOWN
2021-12-25T00:29,-2.2722792607802873,UNKNOWN
2021-12-25T00:30,-2.2722792607802873,UNKNOWN
2021-12-25T00:31,-2.2722792607802873,UNKNOWN
2021-12-25T00:32,-2.2722792607802873,UNKNOWN
2021-12-25T00:33,-2.2722792607802873,UNKNOWN
2021-12-25T00:34,-2.172279260780286,UNKNOWN
2021-12-25T00:35,-2.172279260780286,UNKNOWN
2021-12-25T00:36,-2.072279260780288,UNKNOWN
2021-12-25T00:37,-2.072279260780288,UNKNOWN
2021-12-25T00:38,-2.072279260780288,UNKNOWN
2021-12-25T00:39,-1.9722792607802866,UNKNOWN
2021-12-25T00:40,-1.9722792607802866,UNKNOWN
2021-12-25T00:41,-1.9722792607802866,UNKNOWN
2021-12-25T00:42,-1.9722792607802866,UNKNOWN
2021-12-25T00:43,-1.9722792607802866,UNKNOWN
2021-12-25T00:44,-1.8722792607802887,UNKNOWN
2021-12-25T00:45,-1.8722792607802887,UNKNOWN
2021-12-25T00:46,-1.8722792607802887,UNKNOWN
2021-12-25T00:47,-1.8722792607802887,UNKNOWN
2021-12-25T00:48,-1.8722792607802887,UNKNOWN
2021-12-25T00:49,-1.8722792607802887,UNKNOWN
2021-12-25T00:50,-1.9722792607802866,UNKNOWN
2021-12-25T00:51,-1.8722792607802887,UNKNOWN
2021-12-25T00:52,-1.7722792607802873,UNKNOWN
2021-12-25T00:53,-1.6722792607802859,UNKNOWN
2021-12-25T00:54,-1.4722792607802901,UNKNOWN
2021-12-25T00:55,-1.4722792607802901,UNKNOWN
2021-12-25T00:56,-1.3722792607802887,UNKNOWN
2021-12-25T00:57,-1.2722792607802873,UNKNOWN
2021-12-25T00:58,-1.2722792607802873,UNKNOWN
2021-12-25T00:59,-0.9722792607802901,UNKNOWN
2021-12-25T01:00,-0.8722792607802887,UNKNOWN
2021-12-25T01:01,-0.7722792607802873,UNKNOWN
2021-12-25T01:02,-0.7722792607802873,UNKNOWN
2021-12-25T01:03,-0.7722792607802873,UNKNOWN
2021-12-25T01:04,-0.8722792607802887,UNKNOWN
2021-12-25T01:05,-0.8722792607802887,UNKNOWN
2021-12-25T01:06,-0.9722792607802901,UNKNOWN
2021-12-25T01:07,-0.9722792607802901,UNKNOWN
2021-12-25T01:08,-0.9722792607802901,UNKNOWN
2021-12-25T01:09,-0.9722792607802901,UNKNOWN
2021-12-25T01:10,-0.8722792607802887,UNKNOWN
2021-12-25T01:11,-0.8722792607802887,UNKNOWN
