recorded_time,temperature,sensor_type
2022-04-20T00:00,1.1091008673478484,UNKNOWN
2022-04-20T00:01,1.1091008673478484,UNKNOWN
2022-04-20T00:02,1.1091008673478484,UNKNOWN
2022-04-20T00:03,1.1091008673478484,UNKNOWN
2022-04-20T00:04,1.2091008673478498,UNKNOWN
2022-04-20T00:05,1.3091008673478512,UNKNOWN
2022-04-20T00:06,1.3091008673478512,UNKNOWN
2022-04-20T00:07,1.3091008673478512,UNKNOWN
2022-04-20T00:08,1.4091008673478527,UNKNOWN
2022-04-20T00:09,1.4091008673478527,UNKNOWN
2022-04-20T00:10,1.4091008673478527,UNKNOWN
2022-04-20T00:11,1.4091008673478527,UNKNOWN
2022-04-20T00:12,1.4091008673478527,UNKNOWN
2022-04-20T00:13,1.509100867347854,UNKNOWN
2022-04-20T00:14,1.509100867347854,UNKNOWN
2022-04-20T00:15,1.509100867347854,UNKNOWN
2022-04-20T00:16,1.509100867347854,UNKNOWN
2022-04-20T00:17,1.6091008673478484,UNKNOWN
2022-04-20T00:18,1.6091008673478484,UNKNOWN
2022-04-20T00:19,1.6091008673478484,UNKNOWN
2022-04-20T00:20,1.6091008673478484,UNKNOWN
2022-04-20T00:21,1.6091008673478484,UNKNOWN
2022-04-20T00:22,1.6091008673478484,UNKNOWN
2022-04-20T00:23,1.7091008673478498,UNKNOWN
2022-04-20T00:24,1.7091008673478498,UNKNOWN
2022-04-20T00:25,1.7091008673478498,UNKNOWN
2022-04-20T00:26,1.7091008673478498,UNKNOWN
2022-04-20T00:27,1.7091008673478498,UNKNOWN
2022-04-20T00:28,1.7091008673478498,UNKNOWN
2022-04-20T00:29,1.7091008673478498,UNKNOWN
2022-04-20T00:30,1.7091008673478498,UNKNOWN
2022-04-20T00:31,1.6091008673478484,UNKNOWN
2022-04-20T00:32,1.6091008673478484,UNKNOWN
2022-04-20T00:33,1.6091008673478484,UNKNOWN
2022-04-20T00:34,1.509100867347854,UNKNOWN
2022-04-20T00:35,1.4091008673478527,UNKNOWN
2022-04-20T00:36,1.3091008673478512,UNKNOWN
2022-04-20T00:37,1.2091008673478498,UNKNOWN
2022-04-20T00:38,1.1091008673478484,UNKNOWN
2022-04-20T00:39,1.1091008673478484,UNKNOWN
2022-04-20T00:40,1.009100867347854,UNKNOWN
2022-04-20T00:41,1.009100867347854,UNKNOWN
2022-04-20T00:42,1.009100867347854,UNKNOWN
2022-04-20T00:43,1.009100867347854,UNKNOWN
2022-04-20T00:44,0.9091008673478527,UNKNOWN
2022-04-20T00:45,0.9091008673478527,UNKNOWN
