recorded_time,temperature,sensor_type
2022-02-01T00:00,-4.117171717171711,UNKNOWN
2022-02-01T00:01,-3.917171717171712,UNKNOWN
2022-02-01T00:02,-3.917171717171712,UNKNOWN
2022-02-01T00:03,-3.7171717171717127,UNKNOWN
2022-02-01T00:04,-3.6171717171717113,UNKNOWN
2022-02-01T00:05,-3.417171717171712,UNKNOWN
2022-02-01T00:06,-3.417171717171712,UNKNOWN
2022-02-01T00:07,-3.3171717171717106,UNKNOWN
2022-02-01T00:08,-3.2171717171717127,UNKNOWN
2022-02-01T00:09,-3.1171717171717113,UNKNOWN
2022-02-01T00:10,-3.0171717171717134,UNKNOWN
2022-02-01T00:11,-2.917171717171712,UNKNOWN
2022-02-01T00:12,-2.8171717171717106,UNKNOWN
2022-02-01T00:13,-2.7171717171717127,UNKNOWN
2022-02-01T00:14,-2.6171717171717113,UNKNOWN
2022-02-01T00:15,-2.5171717171717134,UNKNOWN
2022-02-01T00:16,-2.5171717171717134,UNKNOWN
2022-02-01T00:17,-2.5171717171717134,UNKNOWN
2022-02-01T00:18,-2.1171717171717113,UNKNOWN
2022-02-01T00:19,-1.8171717171717106,UNKNOWN
2022-02-01T00:20,-1.5171717171717134,UNKNOWN
2022-02-01T00:21,-1.3171717171717106,UNKNOWN
2022-02-01T00:22,-1.1171717171717148,UNKNOWN
2022-02-01T00:23,-1.0171717171717134,UNKNOWN
2022-02-01T00:24,-0.917171717171712,UNKNOWN
2022-02-01T00:25,-0.7171717171717091,UNKNOWN
2022-02-01T00:26,-0.6171717171717148,UNKNOWN
2022-02-01T00:27,-0.5171717171717134,UNKNOWN
2022-02-01T00:28,-0.31717171717171055,UNKNOWN
2022-02-01T00:29,-0.31717171717171055,UNKNOWN
2022-02-01T00:30,-0.21717171717170913,UNKNOWN
2022-02-01T00:31,-0.11717171717171482,UNKNOWN
2022-02-01T00:32,-0.11717171717171482,UNKNOWN
2022-02-01T00:33,-0.017171717171713397,UNKNOWN
