recorded_time,temperature,sensor_type
2022-03-23T00:00,0.2607981220657294,UNKNOWN
2022-03-23T00:01,0.2607981220657294,UNKNOWN
2022-03-23T00:02,0.16079812206572797,UNKNOWN
2022-03-23T00:03,0.2607981220657294,UNKNOWN
2022-03-23T00:04,0.16079812206572797,UNKNOWN
2022-03-23T00:05,0.16079812206572797,UNKNOWN
2022-03-23T00:06,0.16079812206572797,UNKNOWN
2022-03-23T00:07,0.16079812206572797,UNKNOWN
2022-03-23T00:08,-0.1392018779342692,UNKNOWN
2022-03-23T00:09,-0.43920187793427345,UNKNOWN
2022-03-23T00:10,-0.7392018779342706,UNKNOWN
2022-03-23T00:11,-1.0392018779342678,UNKNOWN
2022-03-23T00:12,-1.339201877934272,UNKNOWN
2022-03-23T00:13,-1.5392018779342678,UNKNOWN
2022-03-23T00:14,-1.7392018779342706,UNKNOWN
2022-03-23T00:15,-1.93920187793427,UNKNOWN
2022-03-23T00:16,-2.139201877934269,UNKNOWN
2022-03-23T00:17,-2.2392018779342706,UNKNOWN
2022-03-23T00:18,-2.339201877934272,UNKNOWN
2022-03-23T00:19,-2.43920187793427,UNKNOWN
2022-03-23T00:20,-2.5392018779342713,UNKNOWN
2022-03-23T00:21,-2.639201877934269,UNKNOWN
2022-03-23T00:22,-2.7392018779342706,UNKNOWN
2022-03-23T00:23,-2.839201877934272,UNKNOWN
2022-03-23T00:24,-2.839201877934272,UNKNOWN
2022-03-23T00:25,-2.93920187793427,UNKNOWN
2022-03-23T00:26,-3.0392018779342713,UNKNOWN
2022-03-23T00:27,-3.0392018779342713,UNKNOWN
2022-03-23T00:28,-3.0392018779342713,UNKNOWN
2022-03-23T00:29,-3.139201877934269,UNKNOWN
2022-03-23T00:30,-3.2392018779342706,UNKNOWN
2022-03-23T00:31,-3.2392018779342706,UNKNOWN
2022-03-23T00:32,-3.2392018779342706,UNKNOWN
2022-03-23T00:33,-3.2392018779342706,UNKNOWN
2022-03-23T00:34,-3.339201877934272,UNKNOWN
2022-03-23T00:35,-3.339201877934272,UNKNOWN
2022-03-23T00:36,-3.339201877934272,UNKNOWN
2022-03-23T00:37,-3.43920187793427,UNKNOWN
2022-03-23T00:38,-3.43920187793427,UNKNOWN
2022-03-23T00:39,-3.5392018779342713,UNKNOWN
2022-03-23T00:40,-3.5392018779342713,UNKNOWN
2022-03-23T00:41,-3.5392018779342713,UNKNOWN
2022-03-23T00:42,-3.5392018779342713,UNKNOWN
2022-03-23T00:43,-3.5392018779342713,UNKNOWN
2022-03-23T00:44,-3.5392018779342713,UNKNOWN
2022-03-23T00:45,-3.5392018779342713,UNKNOWN
2022-03-23T00:46,-3.5392018779342713,UNKNOWN
2022-03-23T00:47,-3.339201877934272,UNKNOWN
2022-03-23T00:48,-2.93920187793427,UNKNOWN
2022-03-23T00:49,-2.5392018779342713,UNKNOWN
