,date,temperature,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,bpm
0,2022-03-04,-2.4948452712100138,67,17,15,35,66,60,0.0734787600459242,71.72103199927068
1,2022-03-04,-2.4948452712100138,67,17,15,35,66,60,0.0734787600459242,66.02690582959642
2,2022-04-19,-2.3747786081483824,75,16,17,42,62,52,0.0719656283566058,62.902085577205526
3,2022-04-19,-2.3747786081483824,75,16,17,42,62,52,0.0719656283566058,62.77112299465241
4,2022-03-10,-3.100640604556973,88,21,22,45,126,60,0.0546946216955332,68.81531042796865
5,2022-03-10,-3.100640604556973,88,21,22,45,126,60,0.0546946216955332,65.59815242494226
6,2022-04-25,-3.08229543785302,56,15,15,26,23,56,0.1001855287569573,73.6916591388136
7,2022-04-25,-3.08229543785302,56,15,15,26,23,56,0.1001855287569573,60.68432432432432
8,2022-06-08,-2.9836742002228274,75,20,19,36,69,55,0.0878155872667398,65.12472160356347
9,2022-06-08,-2.9836742002228274,75,20,19,36,69,55,0.0878155872667398,73.20190517902114
10,2022-01-01,-2.1414398250891034,68,19,18,31,69,60,0.0811965811965812,67.53353771832033
11,2022-01-01,-2.1414398250891034,68,19,18,31,69,60,0.0811965811965812,55.68069306930693
12,2022-01-15,-0.019855671992046957,61,17,10,34,70,57,0.1445904954499494,68.97206320128234
13,2022-01-14,-1.975760742261769,77,21,20,36,82,59,0.0897009966777408,70.66071428571429
14,2022-01-14,-1.975760742261769,77,21,20,36,82,59,0.0897009966777408,66.46497619741572
15,2022-06-09,-2.74822524206692,76,22,16,38,88,54,0.0706401766004415,63.44548092868988
16,2022-06-09,-2.74822524206692,76,22,16,38,88,54,0.0706401766004415,54.98409090909091
17,2022-04-24,-2.648157729067706,68,16,15,37,49,54,0.0790378006872852,75.53176320814768
18,2022-04-24,-2.648157729067706,68,16,15,37,49,54,0.0790378006872852,76.72030237580994
19,2022-04-30,-2.834139194139197,78,21,18,39,81,58,0.0732807215332581,66.38949671772428
20,2022-04-30,-2.834139194139197,78,21,18,39,81,58,0.0732807215332581,63.78935447338618
21,2022-04-18,-2.157149132652149,84,21,22,41,71,53,0.0712074303405572,61.67127286882055
22,2022-04-18,-2.157149132652149,84,21,22,41,71,53,0.0712074303405572,56.58966244725738
23,2022-03-11,-1.2410005232253885,84,21,18,45,68,58,0.0928116469517743,68.57396678254152
24,2022-03-11,-1.2410005232253885,84,21,18,45,68,58,0.0928116469517743,63.64705882352941
25,2022-03-05,-0.6264511847995804,82,21,19,42,82,62,0.0791878172588832,63.76924904942966
26,2022-03-13,-0.5743933629388328,70,15,15,40,49,57,0.088235294117647,60.35
27,2022-03-13,-0.5743933629388328,70,15,15,40,49,57,0.088235294117647,62.9409268375488
28,2022-04-26,-1.3730089328308912,79,20,14,45,80,57,0.07113654946852,63.92874200019104
29,2022-04-26,-1.3730089328308912,79,20,14,45,80,57,0.07113654946852,62.119703389830505
30,2022-01-02,-2.3695216994453245,84,19,20,45,81,61,0.0605794556628621,82.08108108108108
31,2022-01-02,-2.3695216994453245,84,19,20,45,81,61,0.0605794556628621,71.34398756046994
32,2022-01-03,-2.3925093583497135,68,19,15,34,58,60,0.0801001251564455,53.5985401459854
33,2022-01-03,-2.3925093583497135,68,19,15,34,58,60,0.0801001251564455,69.79437883365375
34,2022-01-17,-2.6125123671730326,80,21,21,38,69,58,0.0623556581986143,66.01992788005315
35,2022-01-17,-2.6125123671730326,80,21,21,38,69,58,0.0623556581986143,60.508946322067594
36,2022-04-27,-1.31736240429772,87,22,20,45,96,59,0.0737033666969972,61.26091703056768
37,2022-04-27,-1.31736240429772,87,22,20,45,96,59,0.0737033666969972,60.73797276853253
38,2022-03-12,0.38242911766828325,87,22,20,45,95,58,0.0760180995475113,57.779333520022405
39,2022-03-12,0.38242911766828325,87,22,20,45,95,58,0.0760180995475113,76.08571428571429
40,2022-04-23,-1.8905303491989307,76,20,21,35,102,56,0.1007268951194184,62.175924303486944
41,2022-04-23,-1.8905303491989307,76,20,21,35,102,56,0.1007268951194184,66.90448113207547
42,2022-03-16,0.12460195172059817,78,17,20,41,82,58,0.069175991861648,58.02969247083775
43,2022-03-16,0.12460195172059817,78,17,20,41,82,58,0.069175991861648,57.55577299412916
44,2022-03-02,-2.1793827368118692,76,18,19,39,88,58,0.0704225352112676,67.23959905151972
45,2022-03-02,-2.1793827368118692,76,18,19,39,88,58,0.0704225352112676,65.91650099403579
46,2022-01-13,-3.41683558035022,76,22,16,38,88,59,0.0634755463059313,68.23792751876911
47,2022-01-13,-3.41683558035022,76,22,16,38,88,59,0.0634755463059313,60.46153846153846
48,2022-01-07,-2.560166753789306,69,19,14,36,89,62,0.0667384284176533,75.84976482523287
49,2022-01-06,-1.6562605080800918,80,21,17,42,58,62,0.0649895178197065,72.96478873239437
50,2022-01-06,-1.6562605080800918,80,21,17,42,58,62,0.0649895178197065,74.07012584351632
51,2022-01-12,-1.3366742538261847,81,21,19,41,103,60,0.0635226179018286,61.09111617312073
52,2022-01-12,-1.3366742538261847,81,21,19,41,103,60,0.0635226179018286,68.05624043912535
53,2022-03-03,-2.70301858989252,78,21,16,41,96,58,0.0686735653809971,72.05855855855856
54,2022-03-03,-2.70301858989252,78,21,16,41,96,58,0.0686735653809971,72.61206896551724
55,2022-03-17,-2.5912094546798,87,21,21,45,66,57,0.0837124658780709,68.56864097762886
56,2022-03-17,-2.5912094546798,87,21,21,45,66,57,0.0837124658780709,60.28817204301075
