,Date,Moon Phase
0,2021-01-20 00:00:00,First Quarter
1,2021-01-13 00:00:00,New Moon
2,2021-01-06 00:00:00,Third Quarter
3,2021-01-28 00:00:00,Full Moon
4,2021-02-19 00:00:00,First Quarter
5,2021-02-11 00:00:00,New Moon
6,2021-02-04 00:00:00,Third Quarter
7,2021-02-27 00:00:00,Full Moon
8,2021-03-21 00:00:00,First Quarter
9,2021-03-13 00:00:00,New Moon
10,2021-03-06 00:00:00,Third Quarter
11,2021-03-28 00:00:00,Full Moon
12,2021-04-20 00:00:00,First Quarter
13,2021-04-12 00:00:00,New Moon
14,2021-04-04 00:00:00,Third Quarter
15,2021-04-27 00:00:00,Full Moon
16,2021-05-19 00:00:00,First Quarter
17,2021-05-11 00:00:00,New Moon
18,2021-05-03 00:00:00,Third Quarter
19,2021-05-26 00:00:00,Full Moon
20,2021-06-18 00:00:00,First Quarter
21,2021-06-10 00:00:00,New Moon
22,2021-06-02 00:00:00,Third Quarter
23,2021-06-24 00:00:00,Full Moon
24,2021-07-17 00:00:00,First Quarter
25,2021-07-10 00:00:00,New Moon
26,2021-07-01 00:00:00,Third Quarter
27,2021-07-24 00:00:00,Full Moon
28,2021-08-15 00:00:00,First Quarter
29,2021-08-08 00:00:00,New Moon
30,2021-07-31 00:00:00,Third Quarter
31,2021-08-22 00:00:00,Full Moon
32,2021-09-13 00:00:00,First Quarter
33,2021-09-07 00:00:00,New Moon
34,2021-08-30 00:00:00,Third Quarter
35,2021-09-21 00:00:00,Full Moon
36,2021-10-13 00:00:00,First Quarter
37,2021-10-06 00:00:00,New Moon
38,2021-09-29 00:00:00,Third Quarter
39,2021-10-20 00:00:00,Full Moon
40,2021-11-11 00:00:00,First Quarter
41,2021-11-04 00:00:00,New Moon
42,2021-10-28 00:00:00,Third Quarter
43,2021-11-19 00:00:00,Full Moon
44,2021-12-11 00:00:00,First Quarter
45,2021-12-04 00:00:00,New Moon
46,2021-11-27 00:00:00,Third Quarter
47,2021-12-19 00:00:00,Full Moon
50,2021-12-27 00:00:00,Third Quarter
